OBJECTID *;Shape *;REGN;SOATO;CATEGORY;NAMEOBJECT;NAME;Район;Name_categ;y;x;;
37;Точка;3673;2212562000;121;Яновичи;Поселок городского типа - городской поселок-АТЕ;Витебский;гп Яновичи;55.29439;30.699861;;Витебская
2;Точка;3672;2212557000;121;Сураж;Поселок городского типа - городской поселок-АТЕ;Витебский;гп Сураж;55.408008;30.719886;;Витебская
30;Точка;3393;2210854904;121;Освея;Поселок городского типа - городской поселок-АТЕ;Верхнедвинский;гп Освея;56.011903;28.106826;;Витебская
5;Точка;3392;2210501000;113;Верхнедвинск;Город районного подчинения-АТЕ;Верхнедвинский;г. Верхнедвинск;55.767885;27.939657;;Витебская
29;Точка;2722;2208812906;221;Видзы;Поселок городского типа - городской поселок-ТЕ;Браславский;гп Видзы;55.39478;26.630394;;Витебская
12;Точка;2721;2208501000;113;Браслав;Город районного подчинения-АТЕ;Браславский;г. Браслав;55.64046;27.049765;;Витебская
13;Точка;2466;2205551000;121;Бешенковичи;Поселок городского типа - городской поселок-АТЕ;Бешенковичский;гп Бешенковичи;55.043544;29.461533;;Витебская
47;Точка;2463;1445000000;112;Пинск;Город областного подчинения-АТЕ;Пинский;г. Пинск;52.123975;26.068755;;Брестская
52;Точка;2461;1410000000;112;Барановичи;Город областного подчинения-АТЕ;Барановичский;г. Барановичи;53.127317;26.006575;;Брестская
50;Точка;2458;1401000000;112;Брест;Город областного подчинения-АТЕ;Брестский;г. Брест;52.097127;23.715179;;Брестская
69;Точка;2343;1258555000;223;Речица;Поселок городского типа - рабочий поселок-АТЕ;Столинский;рп Речица;51.858375;26.787041;;Брестская
65;Точка;2342;1258510000;113;Давид-Городок;Город районного подчинения-АТЕ;Столинский;г. Давид-Городок;52.056392;27.215012;;Брестская
48;Точка;2341;1258501000;113;Столин;Город районного подчинения-АТЕ;Столинский;г. Столин;51.89174;26.838707;;Брестская
57;Точка;2076;1256562000;221;Шерешево;Поселок городского типа - городской поселок-АТЕ;Пружанский;гп Шерешево;52.559093;24.21063;;Брестская
56;Точка;2075;1256555000;221;Ружаны;Поселок городского типа - городской поселок-АТЕ;Пружанский;гп Ружаны;52.869379;24.890391;;Брестская
64;Точка;2074;1256501000;113;Пружаны;Город районного подчинения-АТЕ;Пружанский;г. Пружаны;52.558112;24.457187;;Брестская
55;Точка;1868;1254555000;221;Логишин;Поселок городского типа - городской поселок-АТЕ;Пинский;гп Логишин;52.335934;25.993628;;Брестская
49;Точка;1779;1252501000;113;Малорита;Город районного подчинения-АТЕ;Малоритский;г. Малорита;51.793832;24.07644;;Брестская
59;Точка;1642;1250501000;113;Ляховичи;Город районного подчинения-АТЕ;Ляховичский;г. Ляховичи;53.03672;26.257119;;Брестская
72;Точка;1548;1247510000;113;Микашевичи;Город районного подчинения-АТЕ;Лунинецкий;г. Микашевичи;52.225408;27.473399;;Брестская
46;Точка;1547;1247501000;213;Лунинец;Город районного подчинения-ТЕ;Лунинецкий;г. Лунинец;52.249754;26.805501;;Брестская
67;Точка;2462;1243501000;113;Кобрин;Город районного подчинения-АТЕ;Кобринский;г. Кобрин;52.216062;24.357277;;Брестская
44;Точка;1121;1240505000;113;Высокое;Город районного подчинения-АТЕ;Каменецкий;г. Высокое;52.368781;23.372049;;Брестская
60;Точка;1120;1240501000;113;Каменец;Город районного подчинения-АТЕ;Каменецкий;г. Каменец;52.40063;23.816339;;Брестская
63;Точка;989;1234855906;121;Телеханы;Поселок городского типа - городской поселок-АТЕ;Ивацевичский;гп Телеханы;52.514974;25.842061;;Брестская
61;Точка;988;1234510000;113;Коссово;Город районного подчинения-АТЕ;Ивацевичский;г. Коссово;52.755871;25.152931;;Брестская
66;Точка;987;1234501000;113;Ивацевичи;Город районного подчинения-АТЕ;Ивацевичский;г. Ивацевичи;52.709825;25.332418;;Брестская
51;Точка;868;1230501000;113;Иваново;Город районного подчинения-АТЕ;Ивановский;г. Иваново;52.142347;25.533865;;Брестская
53;Точка;760;1225501000;113;Жабинка;Город районного подчинения-АТЕ;Жабинковский;г. Жабинка;52.19569;24.009859;;Брестская
